00LU               20121204                                                                                   
0601LUA0d       20130101000000100000120000 0000000040000033   
0601LUA0d       20130101000120100000005000 0000000040000033   
0601LUA0d       20130101000125100000005000 0000000040000031   
0601LUA0d       20130101000130100000005000 0000000040000030   
0601LUA0d       20130101000135100000005000 0000000040000029   
0601LUA0d       20130101000140100000005000 0000000040000028   
0601LUA0d       20130101000145100000005000 0000000040000027   
0601LUA0d       20130101000150100000005000 0000000040000026   
0601LUA0d       20130101000155100000005000 0000000050000032   
0601LUA0d       20130101000160100000005000 0000000060000037   
0601LUA0d       20130101000165100000005000 0000000060000036   
0601LUA0d       20130101000170100000005000 0000000070000041   
0601LUA0d       20130101000175100000005000 0000000080000045   
0601LUA0d       20130101000180100000005000 0000000090000049   
0601LUA0d       20130101000185100000005000 0000000110000059   
0601LUA0d       20130101000190100000005000 0000000120000062   
0601LUA0d       20130101000195100000005000 0000000140000071   
0601LUA0d       20130101000200100000005000 0000000150000074   
0601LUA0d       20130101000205100000005000 0000000170000082   
0601LUA0d       20130101000210100000005000 0000000200000094   
0601LUA0d       20130101000215100000005000 0000000230000106   
0601LUA0d       20130101000220100000005000 0000000270000121   
0601LUA0d       20130101000225100000005000 0000000330000145   
0601LUA0d       20130101000230100000005000 0000000390000168   
0601LUA0d       20130101000235100000005000 0000000450000189   
0601LUA0d       20130101000240100000005000 0000000510000210   
0601LUA0d       20130101000245100000005000 0000000570000230   
0601LUA0d       20130101000250100000005000 0000000630000250   
0601LUA0d       20130101000255100000005000 0000000690000268   
0601LUA0d       20130101000260100000005000 0000000760000290   
0601LUA0d       20130101000265100000005000 0000000820000307   
0601LUA0d       20130101000270100000005000 0000000900000330   
0601LUA0d       20130101000275100000005000 0000000970000350   
0601LUA0d       20130101000280100000005000 0000001030000365   
0601LUA0d       20130101000285100000005000 0000001100000383   
0601LUA0d       20130101000290100000005000 0000001170000400   
0601LUA0d       20130101000295100000005000 0000001240000417   
0601LUA0d       20130101000300100000005000 0000001310000433   
0601LUA0d       20130101000305100000005000 0000001390000452   
0601LUA0d       20130101000310100000005000 0000001460000467   
0601LUA0d       20130101000315100000005000 0000001530000482   
0601LUA0d       20130101000320100000005000 0000001610000499   
0601LUA0d       20130101000325100000005000 0000001680000513   
0601LUA0d       20130101000330100000005000 0000001750000526   
0601LUA0d       20130101000335100000005000 0000001830000542   
0601LUA0d       20130101000340100000005000 0000001900000555   
0601LUA0d       20130101000345100000005000 0000001970000567   
0601LUA0d       20130101000350100000005000 0000002050000582   
0601LUA0d       20130101000355100000005000 0000002120000593   
0601LUA0d       20130101000360100000005000 0000002190000604   
0601LUA0d       20130101000365100000005000 0000002270000618   
0601LUA0d       20130101000370100000005000 0000002340000628   
0601LUA0d       20130101000375100000005000 0000002420000641   
0601LUA0d       20130101000380100000005000 0000002490000651   
0601LUA0d       20130101000385100000005000 0000002560000661   
0601LUA0d       20130101000390100000005000 0000002640000673   
0601LUA0d       20130101000395100000005000 0000002710000682   
0601LUA0d       20130101000400100000005000 0000002780000691   
0601LUA0d       20130101000405100000005000 0000002860000702   
0601LUA0d       20130101000410100000005000 0000002930000710   
0601LUA0d       20130101000415100000005000 0000003010000721   
0601LUA0d       20130101000420100000005000 0000003080000729   
0601LUA0d       20130101000425100000005000 0000003150000737   
0601LUA0d       20130101000430100000005000 0000003230000747   
0601LUA0d       20130101000435100000005000 0000003300000754   
0601LUA0d       20130101000440100000005000 0000003380000764   
0601LUA0d       20130101000445100000005000 0000003470000775   
0601LUA0d       20130101000450100000005000 0000003540000782   
0601LUA0d       20130101000455100000005000 0000003610000789   
0601LUA0d       20130101000460100000005000 0000003690000798   
0601LUA0d       20130101000465100000005000 0000003760000804   
0601LUA0d       20130101000470100000005000 0000003840000813   
0601LUA0d       20130101000475100000005000 0000003920000821   
0601LUA0d       20130101000480100000005000 0000004000000829   
0601LUA0d       20130101000485100000005000 0000004080000837   
0601LUA0d       20130101000490100000005000 0000004160000845   
0601LUA0d       20130101000495100000005000 0000004250000854   
0601LUA0d       20130101000500100000005000 0000004330000862   
0601LUA0d       20130101000505100000005000 0000004410000869   
0601LUA0d       20130101000510100000005000 0000004490000876   
0601LUA0d       20130101000515100000005000 0000004570000883   
0601LUA0d       20130101000520100000005000 0000004660000892   
0601LUA0d       20130101000525100000005000 0000004740000899   
0601LUA0d       20130101000530100000005000 0000004820000905   
0601LUA0d       20130101000535100000005000 0000004900000912   
0601LUA0d       20130101000540100000005000 0000004980000918   
0601LUA0d       20130101000545100000005000 0000005060000924   
0601LUA0d       20130101000550100000005000 0000005150000932   
0601LUA0d       20130101000555100000005000 0000005230000938   
0601LUA0d       20130101000560100000005000 0000005310000944   
0601LUA0d       20130101000565100000005000 0000005390000950   
0601LUA0d       20130101000570100000005000 0000005470000955   
0601LUA0d       20130101000575100000005000 0000005540000959   
0601LUA0d       20130101000580100000005000 0000005620000965   
0601LUA0d       20130101000585100000005000 0000005700000970   
0601LUA0d       20130101000590100000005000 0000005780000976   
0601LUA0d       20130101000595100000005000 0000005860000981   
0601LUA0d       20130101000600100000005000 0000005940000986   
0601LUA0d       20130101000605100000005000 0000006030000993   
0601LUA0d       20130101000610100000005000 0000006090000994   
0601LUA0d       20130101000615100000005000 0000006180001001   
0601LUA0d       20130101000620100000005000 0000006260001006   
0601LUA0d       20130101000625100000005000 0000006350001012   
0601LUA0d       20130101000630100000005000 0000006430001017   
0601LUA0d       20130101000635100000005000 0000006510001021   
0601LUA0d       20130101000640100000005000 0000006580001024   
0601LUA0d       20130101000645100000005000 0000006660001029   
0601LUA0d       20130101000650100000005000 0000006740001033   
0601LUA0d       20130101000655100000005000 0000006830001039   
0601LUA0d       20130101000660100000005000 0000006910001043   
0601LUA0d       20130101000665100000005000 0000006990001047   
0601LUA0d       20130101000670100000005000 0000007080001053   
0601LUA0d       20130101000675100000005000 0000007140001054   
0601LUA0d       20130101000680100000005000 0000007230001059   
0601LUA0d       20130101000685100000005000 0000007310001063   
0601LUA0d       20130101000690100000005000 0000007390001067   
0601LUA0d       20130101000695100000005000 0000007470001071   
0601LUA0d       20130101000700100000005000 0000007560001076   
0601LUA0d       20130101000705100000005000 0000007640001080   
0601LUA0d       20130101000710100000005000 0000007720001084   
0601LUA0d       20130101000715100000005000 0000007810001089   
0601LUA0d       20130101000720100000005000 0000007890001092   
0601LUA0d       20130101000725100000005000 0000007970001096   
0601LUA0d       20130101000730100000005000 0000008050001099   
0601LUA0d       20130101000735100000005000 0000008140001104   
0601LUA0d       20130101000740100000005000 0000008220001107   
0601LUA0d       20130101000745100000005000 0000008300001110   
0601LUA0d       20130101000750100000005000 0000008380001114   
0601LUA0d       20130101000755100000005000 0000008470001118   
0601LUA0d       20130101000760100000005000 0000008550001121   
0601LUA0d       20130101000765100000005000 0000008630001124   
0601LUA0d       20130101000770100000005000 0000008710001128   
0601LUA0d       20130101000775100000005000 0000008800001132   
0601LUA0d       20130101000780100000005000 0000008890001136   
0601LUA0d       20130101000785100000005000 0000008990001142   
0601LUA0d       20130101000790100000005000 0000009080001146   
0601LUA0d       20130101000795100000005000 0000009180001151   
0601LUA0d       20130101000800100000005000 0000009270001155   
0601LUA0d       20130101000805100000005000 0000009390001163   
0601LUA0d       20130101000810100000005000 0000009480001167   
0601LUA0d       20130101000815100000005000 0000009580001172   
0601LUA0d       20130101000820100000005000 0000009670001176   
0601LUA0d       20130101000825100000005000 0000009770001181   
0601LUA0d       20130101000830100000005000 0000009860001184   
0601LUA0d       20130101000835100000005000 0000009960001189   
0601LUA0d       20130101000840100000005000 0000010060001194   
0601LUA0d       20130101000845100000005000 0000010160001199   
0601LUA0d       20130101000850100000005000 0000010250001202   
0601LUA0d       20130101000855100000005000 0000010350001207   
0601LUA0d       20130101000860100000005000 0000010450001212   
0601LUA0d       20130101000865100000005000 0000010550001216   
0601LUA0d       20130101000870100000005000 0000010640001219   
0601LUA0d       20130101000875100000005000 0000010740001224   
0601LUA0d       20130101000880100000005000 0000010840001228   
0601LUA0d       20130101000885100000005000 0000010940001233   
0601LUA0d       20130101000890100000005000 0000011040001237   
0601LUA0d       20130101000895100000005000 0000011130001240   
0601LUA0d       20130101000900100000005000 0000011230001244   
0601LUA0d       20130101000905100000005000 0000011330001248   
0601LUA0d       20130101000910100000005000 0000011430001253   
0601LUA0d       20130101000915100000005000 0000011520001256   
0601LUA0d       20130101000920100000005000 0000011620001260   
0601LUA0d       20130101000925100000005000 0000011720001264   
0601LUA0d       20130101000930100000005000 0000011820001268   
0601LUA0d       20130101000935100000005000 0000011920001271   
0601LUA0d       20130101000940100000005000 0000012010001274   
0601LUA0d       20130101000945100000005000 0000012110001278   
0601LUA0d       20130101000950100000005000 0000012210001282   
0601LUA0d       20130101000955100000005000 0000012310001286   
0601LUA0d       20130101000960100000005000 0000012400001288   
0601LUA0d       20130101000965100000005000 0000012500001292   
0601LUA0d       20130101000970100000005000 0000012600001296   
0601LUA0d       20130101000975100000005000 0000012700001299   
0601LUA0d       20130101000980100000005000 0000012820001305   
0601LUA0d       20130101000985100000005000 0000012910001307   
0601LUA0d       20130101000990100000005000 0000013010001311   
0601LUA0d       20130101000995100000005000 0000013110001314   
0601LUA0d       20130101001000100000005000 0000013210001318   
0601LUA0d       20130101001005100000005000 0000013300001320   
0601LUA0d       20130101001010100000005000 0000013400001323   
0601LUA0d       20130101001015100000005000 0000013500001327   
0601LUA0d       20130101001020100000005000 0000013600001330   
0601LUA0d       20130101001025100000005000 0000013700001333   
0601LUA0d       20130101001030100000005000 0000013790001336   
0601LUA0d       20130101001035100000005000 0000013890001339   
