00OW               20121019                                                                                   
0601OWA0d       20130101000000100000040000 0000000030000150   
0601OWA0d       20130101000040100000005000 0000000030000071   
0601OWA0d       20130101000045100000005000 0000000030000063   
0601OWA0d       20130101000050100000005000 0000000030000057   
0601OWA0d       20130101000055100000005000 0000000030000052   
0601OWA0d       20130101000060100000005000 0000000030000048   
0601OWA0d       20130101000065100000005000 0000000030000044   
0601OWA0d       20130101000070100000005000 0000000030000041   
0601OWA0d       20130101000075100000005000 0000000030000039   
0601OWA0d       20130101000080100000005000 0000000030000036   
0601OWA0d       20130101000085100000005000 0000000030000034   
0601OWA0d       20130101000090100000005000 0000000030000032   
0601OWA0d       20130101000095100000005000 0000000030000031   
0601OWA0d       20130101000100100000005000 0000000030000029   
0601OWA0d       20130101000105100000005000 0000000030000028   
0601OWA0d       20130101000110100000005000 0000000030000027   
0601OWA0d       20130101000115100000005000 0000000030000026   
0601OWA0d       20130101000120100000005000 0000000030000024   
0601OWA0d       20130101000125100000005000 0000000030000024   
0601OWA0d       20130101000130100000005000 0000000030000023   
0601OWA0d       20130101000135100000005000 0000000030000022   
0601OWA0d       20130101000140100000005000 0000000030000021   
0601OWA0d       20130101000145100000005000 0000000030000020   
0601OWA0d       20130101000150100000005000 0000000030000020   
0601OWA0d       20130101000155100000005000 0000000030000019   
0601OWA0d       20130101000160100000005000 0000000030000018   
0601OWA0d       20130101000165100000005000 0000000030000018   
0601OWA0d       20130101000170100000005000 0000000030000017   
0601OWA0d       20130101000175100000005000 0000000030000017   
0601OWA0d       20130101000180100000005000 0000000030000016   
0601OWA0d       20130101000185100000005000 0000000030000016   
0601OWA0d       20130101000190100000005000 0000000030000016   
0601OWA0d       20130101000195100000005000 0000000030000015   
0601OWA0d       20130101000200100000005000 0000000040000020   
0601OWA0d       20130101000205100000005000 0000000100000048   
0601OWA0d       20130101000210100000005000 0000000160000075   
0601OWA0d       20130101000215100000005000 0000000210000097   
0601OWA0d       20130101000220100000005000 0000000280000126   
0601OWA0d       20130101000225100000005000 0000000350000154   
0601OWA0d       20130101000230100000005000 0000000410000176   
0601OWA0d       20130101000235100000005000 0000000470000198   
0601OWA0d       20130101000240100000005000 0000000530000219   
0601OWA0d       20130101000245100000005000 0000000590000238   
0601OWA0d       20130101000250100000005000 0000000660000261   
0601OWA0d       20130101000255100000005000 0000000720000280   
0601OWA0d       20130101000260100000005000 0000000780000297   
0601OWA0d       20130101000265100000005000 0000000840000314   
0601OWA0d       20130101000270100000005000 0000000900000330   
0601OWA0d       20130101000275100000005000 0000000960000346   
0601OWA0d       20130101000280100000005000 0000001020000361   
0601OWA0d       20130101000285100000005000 0000001090000379   
0601OWA0d       20130101000290100000005000 0000001150000393   
0601OWA0d       20130101000295100000005000 0000001210000407   
0601OWA0d       20130101000300100000005000 0000001270000420   
0601OWA0d       20130101000305100000005000 0000001330000433   
0601OWA0d       20130101000310100000005000 0000001390000445   
0601OWA0d       20130101000315100000005000 0000001460000460   
0601OWA0d       20130101000320100000005000 0000001520000471   
0601OWA0d       20130101000325100000005000 0000001580000482   
0601OWA0d       20130101000330100000005000 0000001640000493   
0601OWA0d       20130101000335100000005000 0000001700000504   
0601OWA0d       20130101000340100000005000 0000001760000514   
0601OWA0d       20130101000345100000005000 0000001830000527   
0601OWA0d       20130101000350100000005000 0000001890000536   
0601OWA0d       20130101000355100000005000 0000001950000545   
0601OWA0d       20130101000360100000005000 0000002010000554   
0601OWA0d       20130101000365100000005000 0000002070000563   
0601OWA0d       20130101000370100000005000 0000002130000572   
0601OWA0d       20130101000375100000005000 0000002190000580   
0601OWA0d       20130101000380100000005000 0000002260000591   
0601OWA0d       20130101000385100000005000 0000002320000599   
0601OWA0d       20130101000390100000005000 0000002380000606   
0601OWA0d       20130101000395100000005000 0000002440000614   
0601OWA0d       20130101000400100000005000 0000002500000621   
0601OWA0d       20130101000405100000005000 0000002560000628   
0601OWA0d       20130101000410100000005000 0000002630000638   
0601OWA0d       20130101000415100000005000 0000002690000644   
0601OWA0d       20130101000420100000005000 0000002750000651   
0601OWA0d       20130101000425100000005000 0000002810000657   
0601OWA0d       20130101000430100000005000 0000002870000664   
0601OWA0d       20130101000435100000005000 0000002940000672   
0601OWA0d       20130101000440100000005000 0000003010000680   
0601OWA0d       20130101000445100000005000 0000003080000688   
0601OWA0d       20130101000450100000005000 0000003140000694   
0601OWA0d       20130101000455100000005000 0000003220000704   
0601OWA0d       20130101000460100000005000 0000003290000711   
0601OWA0d       20130101000465100000005000 0000003350000717   
0601OWA0d       20130101000470100000005000 0000003420000724   
0601OWA0d       20130101000475100000005000 0000003500000733   
0601OWA0d       20130101000480100000005000 0000003580000742   
0601OWA0d       20130101000485100000005000 0000003640000747   
0601OWA0d       20130101000490100000005000 0000003720000755   
0601OWA0d       20130101000495100000005000 0000003800000764   
0601OWA0d       20130101000500100000005000 0000003880000772   
0601OWA0d       20130101000505100000005000 0000003950000778   
0601OWA0d       20130101000510100000005000 0000004030000786   
0601OWA0d       20130101000515100000005000 0000004110000794   
0601OWA0d       20130101000520100000005000 0000004170000798   
0601OWA0d       20130101000525100000005000 0000004250000806   
0601OWA0d       20130101000530100000005000 0000004330000813   
0601OWA0d       20130101000535100000005000 0000004410000820   
0601OWA0d       20130101000540100000005000 0000004480000826   
0601OWA0d       20130101000545100000005000 0000004550000831   
0601OWA0d       20130101000550100000005000 0000004630000838   
0601OWA0d       20130101000555100000005000 0000004710000845   
0601OWA0d       20130101000560100000005000 0000004780000850   
0601OWA0d       20130101000565100000005000 0000004860000856   
0601OWA0d       20130101000570100000005000 0000004930000861   
0601OWA0d       20130101000575100000005000 0000005000000866   
0601OWA0d       20130101000580100000005000 0000005070000870   
0601OWA0d       20130101000585100000005000 0000005130000873   
0601OWA0d       20130101000590100000005000 0000005210000879   
0601OWA0d       20130101000595100000005000 0000005280000884   
0601OWA0d       20130101000600100000005000 0000005350000888   
0601OWA0d       20130101000605100000005000 0000005410000891   
0601OWA0d       20130101000610100000005000 0000005480000895   
0601OWA0d       20130101000615100000005000 0000005560000900   
0601OWA0d       20130101000620100000005000 0000005630000904   
0601OWA0d       20130101000625100000005000 0000005700000908   
0601OWA0d       20130101000630100000005000 0000005770000912   
0601OWA0d       20130101000635100000005000 0000005850000918   
0601OWA0d       20130101000640100000005000 0000005920000921   
0601OWA0d       20130101000645100000005000 0000005980000924   
0601OWA0d       20130101000650100000005000 0000006050000927   
0601OWA0d       20130101000655100000005000 0000006120000931   
0601OWA0d       20130101000660100000005000 0000006200000936   
0601OWA0d       20130101000665100000005000 0000006270000939   
0601OWA0d       20130101000670100000005000 0000006340000943   
0601OWA0d       20130101000675100000005000 0000006400000945   
0601OWA0d       20130101000680100000005000 0000006470000948   
0601OWA0d       20130101000685100000005000 0000006550000953   
0601OWA0d       20130101000690100000005000 0000006620000956   
0601OWA0d       20130101000695100000005000 0000006690000959   
0601OWA0d       20130101000700100000005000 0000006760000962   
0601OWA0d       20130101000705100000005000 0000006820000964   
0601OWA0d       20130101000710100000005000 0000006900000968   
0601OWA0d       20130101000715100000005000 0000006970000971   
0601OWA0d       20130101000720100000005000 0000007040000974   
0601OWA0d       20130101000725100000005000 0000007110000977   
0601OWA0d       20130101000730100000005000 0000007180000980   
0601OWA0d       20130101000735100000005000 0000007260000984   
0601OWA0d       20130101000740100000005000 0000007320000986   
0601OWA0d       20130101000745100000005000 0000007390000989   
0601OWA0d       20130101000750100000005000 0000007460000991   
0601OWA0d       20130101000755100000005000 0000007540000995   
0601OWA0d       20130101000760100000005000 0000007610000998   
0601OWA0d       20130101000765100000005000 0000007680001001   
0601OWA0d       20130101000770100000005000 0000007740001002   
0601OWA0d       20130101000775100000005000 0000007810001005   
0601OWA0d       20130101000780100000005000 0000007900001010   
0601OWA0d       20130101000785100000005000 0000007980001013   
0601OWA0d       20130101000790100000005000 0000008060001017   
0601OWA0d       20130101000795100000005000 0000008140001021   
0601OWA0d       20130101000800100000005000 0000008220001024   
0601OWA0d       20130101000805100000005000 0000008320001030   
0601OWA0d       20130101000810100000005000 0000008400001034   
0601OWA0d       20130101000815100000005000 0000008480001037   
0601OWA0d       20130101000820100000005000 0000008560001041   
0601OWA0d       20130101000825100000005000 0000008640001044   
0601OWA0d       20130101000830100000005000 0000008730001049   
0601OWA0d       20130101000835100000005000 0000008810001052   
0601OWA0d       20130101000840100000005000 0000008890001055   
0601OWA0d       20130101000845100000005000 0000008970001058   
0601OWA0d       20130101000850100000005000 0000009060001063   
0601OWA0d       20130101000855100000005000 0000009150001067   
0601OWA0d       20130101000860100000005000 0000009230001070   
0601OWA0d       20130101000865100000005000 0000009310001073   
0601OWA0d       20130101000870100000005000 0000009400001077   
0601OWA0d       20130101000875100000005000 0000009490001081   
0601OWA0d       20130101000880100000005000 0000009570001084   
0601OWA0d       20130101000885100000005000 0000009660001088   
0601OWA0d       20130101000890100000005000 0000009740001091   
0601OWA0d       20130101000895100000005000 0000009820001094   
0601OWA0d       20130101000900100000005000 0000009910001098   
0601OWA0d       20130101000905100000005000 0000010000001102   
0601OWA0d       20130101000910100000005000 0000010080001105   
0601OWA0d       20130101000915100000005000 0000010160001107   
0601OWA0d       20130101000920100000005000 0000010240001110   
0601OWA0d       20130101000925100000005000 0000010340001115   
0601OWA0d       20130101000930100000005000 0000010420001117   
0601OWA0d       20130101000935100000005000 0000010500001120   
0601OWA0d       20130101000940100000005000 0000010580001123   
0601OWA0d       20130101000945100000005000 0000010660001125   
0601OWA0d       20130101000950100000005000 0000010760001130   
0601OWA0d       20130101000955100000005000 0000010840001132   
0601OWA0d       20130101000960100000005000 0000010920001135   
0601OWA0d       20130101000965100000005000 0000011010001138   
0601OWA0d       20130101000970100000005000 0000011090001140   
0601OWA0d       20130101000975100000005000 0000011180001144   
0601OWA0d       20130101000980100000005000 0000011270001147   
0601OWA0d       20130101000985100000005000 0000011350001149   
0601OWA0d       20130101000990100000005000 0000011430001152   
0601OWA0d       20130101000995100000005000 0000011520001155   
0601OWA0d       20130101001000100000005000 0000011610001158   
0601OWA0d       20130101001005100000005000 0000011690001160   
0601OWA0d       20130101001010100000005000 0000011770001162   
0601OWA0d       20130101001015100000005000 0000011860001166   
0601OWA0d       20130101001020100000005000 0000011950001169   
0601OWA0d       20130101001025100000005000 0000012030001171   
0601OWA0d       20130101001030100000005000 0000012110001173   
0601OWA0d       20130101001035100000005000 0000012200001176   
0601OWA0d       20130101001040100000005000 0000012280001178   
0601OWA0d       20130101001045100000005000 0000012370001181   
0601OWA0d       20130101001050100000005000 0000012450001183   
0601OWA0d       20130101001055100000005000 0000012540001186   
0601OWA0d       20130101001060100000005000 0000012630001189   
0601OWA0d       20130101001065100000005000 0000012710001191   
0601OWA0d       20130101001070100000005000 0000012800001193   
0601OWA0d       20130101001075100000005000 0000012890001196   
0601OWA0d       20130101001080100000005000 0000012980001199   
0601OWA0d       20130101001085100000005000 0000013060001201   
0601OWA0d       20130101001090100000005000 0000013150001204   
0601OWA0d       20130101001095100000005000 0000013250001207   
0601OWA0d       20130101001100100000005000 0000013340001210   
0601OWA0d       20130101001105100000005000 0000013440001214   
0601OWA0d       20130101001110100000005000 0000013540001217   
0601OWA0d       20130101001115100000005000 0000013640001221   
0601OWA0d       20130101001120100000005000 0000013730001223   
0601OWA0d       20130101001125100000005000 0000013830001227   
0601OWA0d       20130101001130100000005000 0000013930001230   
0601OWA0d       20130101001135100000005000 0000014020001233   
0601OWA0d       20130101001140100000005000 0000014130001237   
0601OWA0d       20130101001145100000005000 0000014220001239   
0601OWA0d       20130101001150100000005000 0000014310001242   
0601OWA0d       20130101001155100000005000 0000014420001246   
0601OWA0d       20130101001160100000005000 0000014510001248   
0601OWA0d       20130101001165100000005000 0000014600001251   
0601OWA0d       20130101001170100000005000 0000014710001255   
0601OWA0d       20130101001175100000005000 0000014800001257   
0601OWA0d       20130101001180100000005000 0000014890001259   
0601OWA0d       20130101001185100000005000 0000015000001263   
0601OWA0d       20130101001190100000005000 0000015090001265   
0601OWA0d       20130101001195100000005000 0000015180001268   
0601OWA0d       20130101001200100000005000 0000015290001272   
0601OWA0d       20130101001205100000005000 0000015380001274   
0601OWA0d       20130101001210100000005000 0000015470001276   
0601OWA0d       20130101001215100000005000 0000015580001280   
0601OWA0d       20130101001220100000005000 0000015670001282   
0601OWA0d       20130101001225100000005000 0000015760001284   
0601OWA0d       20130101001230100000005000 0000015870001288   
0601OWA0d       20130101001235100000005000 0000015960001290   
0601OWA0d       20130101001240100000005000 0000016050001292   
0601OWA0d       20130101001245100000005000 0000016160001295   
0601OWA0d       20130101001250100000005000 0000016250001297   
0601OWA0d       20130101001255100000005000 0000016340001299   
0601OWA0d       20130101001260100000005000 0000016450001303   
0601OWA0d       20130101001265100000005000 0000016540001305   
0601OWA0d       20130101001270100000005000 0000016630001307   
0601OWA0d       20130101001275100000005000 0000016740001310   
0601OWA0d       20130101001280100000005000 0000016830001312   
0601OWA0d       20130101001285100000005000 0000016920001314   
0601OWA0d       20130101001290100000005000 0000017030001318   
0601OWA0d       20130101001295100000005000 0000017120001319   
0601OWA0d       20130101001300100000005000 0000017210001321   
0601OWA0d       20130101001305100000005000 0000017320001325   
0601OWA0d       20130101001310100000005000 0000017410001326   
0601OWA0d       20130101001315100000005000 0000017500001328   
0601OWA0d       20130101001320100000005000 0000017610001332   
0601OWA0d       20130101001325100000005000 0000017700001333   
0601OWA0d       20130101001330100000005000 0000017790001335   
0601OWA0d       20130101001335100000005000 0000017900001338   
0601OWA0d       20130101001340100000005000 0000017990001340   
0601OWA0d       20130101001345100000005000 0000018080001342   
0601OWA0d       20130101001350100000005000 0000018190001345   
0601OWA0d       20130101001355100000005000 0000018280001347   
0601OWA0d       20130101001360100000005000 0000018370001348   
0601OWA0d       20130101001365100000005000 0000018480001351   
0601OWA0d       20130101001370100000005000 0000018570001353   
0601OWA0d       20130101001375100000005000 0000018660001355   
0601OWA0d       20130101001380100000005000 0000018780001358   
0601OWA0d       20130101001385100000005000 0000018880001361   
0601OWA0d       20130101001390100000005000 0000018980001363   
0601OWA0d       20130101001395100000005000 0000019100001367   
0601OWA0d       20130101001400100000005000 0000019200001369   
0601OWA0d       20130101001405100000005000 0000019300001371   
0601OWA0d       20130101001410100000005000 0000019420001375   
0601OWA0d       20130101001415100000005000 0000019520001377   
0601OWA0d       20130101001420100000005000 0000019620001379   
0601OWA0d       20130101001425100000005000 0000019740001383   
0601OWA0d       20130101001430100000005000 0000019840001385   
0601OWA0d       20130101001435100000005000 0000019940001387   
0601OWA0d       20130101001440100000005000 0000020060001391   
0601OWA0d       20130101001445100000005000 0000020150001392   
0601OWA0d       20130101001450100000005000 0000020250001394   
0601OWA0d       20130101001455100000005000 0000020370001398   
0601OWA0d       20130101001460100000005000 0000020470001400   
0601OWA0d       20130101001465100000005000 0000020570001402   
0601OWA0d       20130101001470100000005000 0000020690001405   
0601OWA0d       20130101001475100000005000 0000020790001407   
0601OWA0d       20130101001480100000005000 0000020890001409   
0601OWA0d       20130101001485100000005000 0000021010001412   
0601OWA0d       20130101001490100000005000 0000021110001414   
0601OWA0d       20130101001495100000005000 0000021210001416   
0601OWA0d       20130101001500100000500000 0000026570001518   
0601OWA0d       20130101002000100000500000 0000038040001691   
0601OWA0d       20130101002500100000500000 0000049540001801   
0601OWA0d       20130101003000100000500000 0000061130001881   
0601OWA0d       20130101003500100000500000 0000072700001939   
0601OWA0d       20130101004000100000500000 0000084260001983   
0601OWA0d       20130101004500100000500000 0000095820002017   
0601OWA0d       20130101005000100000500000 0000107390002046   
0601OWA0d       20130101005500100000500000 0000118950002069   
0601OWA0d       20130101006000100000500000 0000130520002088   
0601OWA0d       20130101006500100000500000 0000142080002105   
0601OWA0d       20130101007000100000500000 0000153540002118   
0601OWA0d       20130101007500100000500000 0000164400002121   
0601OWA0d       20130101008000100000500000 0000175270002124   
0601OWA0d       20130101008500100000500000 0000186130002127   
0601OWA0d       20130101009000100000500000 0000196990002130   
0601OWA0d       20130101009500100000500000 0000207840002132   
0601OWA0d       20130101010000100000500000 0000218700002134   
0601OWA0d       20130101010500100000500000 0000229560002135   
0601OWA0d       20130101011000100000500000 0000240410002137   
0601OWA0d       20130101011500100000500000 0000251270002138   
0601OWA0d       20130101012000100000500000 0000262130002140   
